id,genero_cliente,alias,tipo_servicio,genero_preferencia,tiempo_minutos,valor_total,medio_pago,Fecha_Ingreso
1,Femenino,Candy,Acompañamiento,Masculino,45,352968,Tarjeta,2023-01-30
2,Masculino,Tormenta,Masaje,Femenino,90,454947,Transferencia,2023-11-22
3,Femenino,Sirena,Acompañamiento,Masculino,90,163102,Transferencia,2023-06-29
4,No binario,Bombón,Acompañamiento,Masculino,120,450107,Transferencia,2023-09-18
5,Masculino,El Negro,Baile privado,Femenino,60,443406,Cripto,2023-10-20
6,Masculino,El Negro,Acompañamiento,Masculino,90,81897,Transferencia,2023-07-04
7,Masculino,El Flaco,Acompañamiento,Cualquiera,60,408211,Tarjeta,2023-07-04
8,Masculino,El Negro,Acompañamiento,Cualquiera,30,62433,Transferencia,2023-08-23
9,Femenino,La Leona,Acompañamiento,Cualquiera,30,203619,Cripto,2023-03-13
10,Masculino,El Tigre,Masaje,Cualquiera,90,250630,Cripto,2023-06-26
11,Masculino,El Flaco,Masaje,Femenino,45,130640,Cripto,2023-01-10
12,No binario,Bombón,Servicio premium,Masculino,30,207008,Transferencia,2023-10-17
13,Masculino,El Vato,Acompañamiento,Femenino,60,465933,Tarjeta,2023-12-20
14,Femenino,Poker,Baile privado,Masculino,60,293261,Cripto,2023-10-17
15,Femenino,La Reina,Masaje,Cualquiera,30,414547,Efectivo,2023-08-16
16,Masculino,El Búho,Servicio premium,Femenino,45,275717,Transferencia,2023-09-03
17,Femenino,Candy,Masaje,Cualquiera,60,241821,Cripto,2023-07-08
18,Masculino,El Vato,Baile privado,Masculino,45,449000,Cripto,2023-06-06
19,Femenino,La Reina,Acompañamiento,Cualquiera,45,477898,Cripto,2023-02-28
20,Femenino,La Reina,Baile privado,Femenino,90,338832,Cripto,2023-03-09
21,Femenino,Diamante,Baile privado,Masculino,120,301667,Tarjeta,2023-09-20
22,Masculino,El Mister,Masaje,Cualquiera,45,146455,Tarjeta,2023-01-12
23,Femenino,La Coneja,Servicio premium,Cualquiera,30,125710,Transferencia,2023-05-04
24,Femenino,Cupcake,Servicio premium,Cualquiera,60,163845,Cripto,2023-01-12
25,Masculino,El Veneno,Acompañamiento,Femenino,120,297556,Cripto,2023-12-03
26,Masculino,El Papi,Masaje,Masculino,45,213178,Transferencia,2023-02-28
27,No binario,Bombón,Masaje,Masculino,45,277655,Transferencia,2023-08-20
28,Femenino,La Chispa,Acompañamiento,Femenino,30,149411,Transferencia,2023-05-04
29,Femenino,Cupcake,Baile privado,Cualquiera,30,109845,Cripto,2023-05-12
30,Femenino,Pecado,Baile privado,Femenino,60,339487,Cripto,2023-05-06
31,Masculino,El Búho,Masaje,Masculino,45,138124,Transferencia,2023-07-22
32,No binario,Sombra,Servicio premium,Femenino,45,454460,Cripto,2023-03-29
33,Femenino,Cupcake,Masaje,Femenino,45,391089,Efectivo,2023-01-27
34,Masculino,El Búho,Masaje,Femenino,120,331653,Tarjeta,2023-11-11
35,Masculino,Rayo,Baile privado,Femenino,60,129776,Transferencia,2023-01-15
36,Femenino,La Diabla,Masaje,Femenino,30,66855,Efectivo,2023-08-12
37,Masculino,El Vato,Acompañamiento,Masculino,45,85078,Tarjeta,2023-09-05
38,Masculino,El Tigre,Servicio premium,Femenino,45,82002,Cripto,2023-12-27
39,Femenino,La Leona,Baile privado,Cualquiera,90,338168,Tarjeta,2023-12-17
40,Masculino,Rayo,Baile privado,Femenino,60,477141,Efectivo,2023-06-13
41,Femenino,La Leona,Baile privado,Femenino,90,312421,Tarjeta,2023-05-10
42,Femenino,Sirena,Baile privado,Masculino,90,272987,Tarjeta,2023-06-07
43,Femenino,La Diabla,Servicio premium,Femenino,120,209939,Cripto,2023-06-07
44,Masculino,El Lobo,Servicio premium,Masculino,60,238934,Tarjeta,2023-07-24
45,Masculino,El Mono,Baile privado,Cualquiera,30,51007,Tarjeta,2023-04-08
46,No binario,Chocolate,Masaje,Masculino,120,121883,Efectivo,2023-04-11
47,Masculino,El Gallito,Acompañamiento,Masculino,30,351358,Efectivo,2023-01-31
48,Femenino,La Fiera,Baile privado,Femenino,45,301152,Cripto,2023-05-03
49,Femenino,Rubí,Acompañamiento,Femenino,120,455439,Transferencia,2023-03-07
50,Femenino,La Chispa,Acompañamiento,Femenino,120,239188,Cripto,2023-06-22
51,Masculino,El Lobo,Acompañamiento,Femenino,60,195171,Tarjeta,2023-05-07
52,Femenino,Sirena,Baile privado,Cualquiera,30,151413,Cripto,2023-10-23
53,Femenino,La Tremenda,Masaje,Femenino,90,281026,Transferencia,2023-06-09
54,Femenino,La Pantera,Servicio premium,Femenino,60,158862,Efectivo,2023-12-16
55,Masculino,El Bravo,Masaje,Cualquiera,45,76865,Tarjeta,2023-12-24
56,No binario,Chocolate,Baile privado,Masculino,120,259594,Cripto,2023-08-09
57,Masculino,El Lobo,Baile privado,Cualquiera,120,120863,Tarjeta,2023-11-28
58,Masculino,El Duende,Masaje,Femenino,30,397884,Cripto,2023-09-26
59,No binario,Sombra,Servicio premium,Masculino,60,175782,Efectivo,2023-05-06
60,Femenino,La Mamba,Servicio premium,Femenino,30,233418,Transferencia,2023-05-14
61,No binario,Sombra,Baile privado,Masculino,60,158362,Efectivo,2023-07-30
62,Femenino,Rubí,Servicio premium,Cualquiera,120,77436,Tarjeta,2023-05-26
63,Masculino,El Bravo,Servicio premium,Cualquiera,60,240602,Efectivo,2023-08-25
64,Femenino,La Fiera,Masaje,Cualquiera,60,480726,Cripto,2023-06-26
65,Femenino,Dulce,Servicio premium,Masculino,45,337648,Transferencia,2023-08-08
66,Femenino,Gata Salvaje,Masaje,Cualquiera,45,464706,Cripto,2023-05-24
67,Masculino,El Bravo,Masaje,Femenino,45,71374,Transferencia,2023-05-22
68,Masculino,El Lobo,Masaje,Femenino,30,321112,Efectivo,2023-07-30
69,Masculino,Shadow,Baile privado,Cualquiera,60,273682,Tarjeta,2023-09-10
70,Femenino,Gata Salvaje,Servicio premium,Femenino,90,140847,Efectivo,2023-03-08
71,Masculino,Fantasma,Servicio premium,Cualquiera,45,174232,Transferencia,2023-05-12
72,Masculino,El Mister,Masaje,Femenino,120,225768,Transferencia,2023-03-18
73,Femenino,Poker,Servicio premium,Masculino,120,137932,Cripto,2023-07-03
74,Masculino,El Papi,Baile privado,Masculino,45,178094,Efectivo,2023-09-20
75,Masculino,El Vato,Baile privado,Femenino,45,170225,Transferencia,2023-04-08
76,Masculino,El Bravo,Acompañamiento,Masculino,120,253951,Transferencia,2023-05-01
77,Femenino,La Reina,Baile privado,Cualquiera,60,174510,Transferencia,2023-10-29
78,Masculino,El Vato,Masaje,Femenino,90,310699,Transferencia,2023-12-19
79,Femenino,Rubí,Acompañamiento,Cualquiera,120,154203,Efectivo,2023-05-29
80,Femenino,La Mamba,Acompañamiento,Femenino,90,233204,Efectivo,2023-06-27
81,Masculino,El Gallito,Servicio premium,Cualquiera,90,348246,Efectivo,2023-06-30
82,Masculino,El Tigre,Baile privado,Masculino,120,122764,Cripto,2023-01-23
83,Masculino,El Mister,Masaje,Cualquiera,120,337773,Cripto,2023-05-24
84,Femenino,Rubí,Baile privado,Cualquiera,60,296140,Efectivo,2023-06-20
85,Femenino,Luz Negra,Acompañamiento,Femenino,90,263937,Tarjeta,2023-10-30
86,Masculino,El Papi,Baile privado,Cualquiera,30,129459,Tarjeta,2023-12-10
87,Femenino,Diamante,Baile privado,Cualquiera,120,378948,Cripto,2023-12-28
88,Femenino,La Chispa,Baile privado,Cualquiera,30,369869,Efectivo,2023-07-29
89,Masculino,El Veneno,Baile privado,Femenino,90,376908,Transferencia,2023-10-15
90,Femenino,Cupcake,Baile privado,Masculino,120,458503,Tarjeta,2023-02-02
91,Masculino,El Búho,Masaje,Cualquiera,90,298326,Tarjeta,2023-07-24
92,Femenino,Poker,Masaje,Cualquiera,30,349071,Cripto,2023-07-22
93,Femenino,Candy,Masaje,Masculino,90,63831,Efectivo,2023-11-22
94,Femenino,La Diabla,Masaje,Masculino,30,477126,Cripto,2023-09-04
95,No binario,Bombón,Baile privado,Masculino,90,411754,Cripto,2023-01-13
96,Masculino,Shadow,Masaje,Masculino,30,334471,Cripto,2023-06-15
97,Femenino,Pecado,Servicio premium,Femenino,120,163823,Cripto,2023-03-03
98,Masculino,El Flaco,Acompañamiento,Femenino,60,255266,Transferencia,2023-11-02
99,No binario,Bombón,Masaje,Masculino,120,141118,Cripto,2023-06-23
100,Femenino,La Mamba,Masaje,Femenino,60,149679,Cripto,2023-01-26
101,Femenino,La Tremenda,Servicio premium,Femenino,120,295046,Transferencia,2023-06-17
102,Masculino,El Rey,Baile privado,Femenino,30,320541,Transferencia,2023-06-03
103,No binario,Bombón,Acompañamiento,Masculino,30,171548,Transferencia,2023-06-24
104,Masculino,El Veneno,Acompañamiento,Femenino,60,160598,Tarjeta,2023-05-13
105,Femenino,Luz Negra,Masaje,Cualquiera,60,321711,Cripto,2023-04-22
106,Masculino,El Rey,Acompañamiento,Masculino,60,241578,Transferencia,2023-06-15
107,Masculino,El Lobo,Servicio premium,Femenino,60,313886,Efectivo,2023-04-24
108,Femenino,La Fiera,Acompañamiento,Masculino,30,81059,Transferencia,2023-11-27
109,Femenino,Dulce,Masaje,Cualquiera,45,226407,Efectivo,2023-12-17
110,Femenino,Gata Salvaje,Masaje,Femenino,60,316132,Efectivo,2023-12-14
111,Femenino,Poker,Acompañamiento,Cualquiera,45,336273,Cripto,2023-11-19
112,Masculino,El Vato,Masaje,Masculino,90,273450,Cripto,2023-03-25
113,Masculino,El Vato,Acompañamiento,Masculino,90,141092,Efectivo,2023-03-13
114,Masculino,El Veneno,Servicio premium,Cualquiera,30,417926,Tarjeta,2023-11-07
115,Masculino,Tormenta,Acompañamiento,Masculino,120,140835,Transferencia,2023-03-06
116,Masculino,El Papi,Baile privado,Femenino,90,326439,Cripto,2023-02-10
117,Femenino,La Diabla,Masaje,Femenino,120,114293,Efectivo,2023-09-09
118,Masculino,El Duende,Servicio premium,Femenino,90,179424,Efectivo,2023-08-11
119,Femenino,La Chispa,Acompañamiento,Femenino,30,326471,Efectivo,2023-02-14
120,Femenino,Luz Negra,Masaje,Cualquiera,60,355635,Efectivo,2023-07-17
121,Femenino,Diamante,Baile privado,Femenino,45,414807,Cripto,2023-11-11
122,Masculino,Fantasma,Servicio premium,Cualquiera,120,72736,Transferencia,2023-03-10
123,Masculino,El Duende,Baile privado,Masculino,30,282388,Cripto,2023-05-15
124,Femenino,Sirena,Servicio premium,Masculino,30,363716,Cripto,2023-10-13
125,No binario,Chocolate,Acompañamiento,Cualquiera,60,490335,Cripto,2023-03-02
126,Masculino,El Rulo,Masaje,Masculino,60,74683,Cripto,2023-05-15
127,Masculino,El Duende,Masaje,Cualquiera,120,167903,Transferencia,2023-10-25
128,Masculino,El Gallito,Acompañamiento,Cualquiera,90,134946,Transferencia,2023-11-13
129,Femenino,Poker,Acompañamiento,Femenino,60,424804,Cripto,2023-05-30
130,Masculino,El Tigre,Baile privado,Cualquiera,30,190052,Transferencia,2023-08-30
131,Femenino,Luz Negra,Servicio premium,Femenino,120,219699,Transferencia,2023-12-21
132,Femenino,Rubí,Acompañamiento,Femenino,90,425798,Cripto,2023-07-05
133,Femenino,La Diabla,Masaje,Femenino,90,262410,Tarjeta,2023-03-28
134,Femenino,La Diabla,Acompañamiento,Cualquiera,90,308784,Cripto,2023-06-05
135,Femenino,La Leona,Acompañamiento,Cualquiera,120,143879,Tarjeta,2023-10-07
136,Masculino,El Tigre,Masaje,Cualquiera,45,306059,Transferencia,2023-10-25
137,No binario,Chocolate,Acompañamiento,Femenino,60,51240,Transferencia,2023-04-15
138,Femenino,Pecado,Servicio premium,Masculino,30,409405,Transferencia,2023-03-08
139,Femenino,La Tremenda,Baile privado,Cualquiera,45,462569,Transferencia,2023-03-24
140,Masculino,El Tigre,Acompañamiento,Femenino,90,333017,Tarjeta,2023-09-15
141,Masculino,El Rulo,Acompañamiento,Masculino,30,330586,Cripto,2023-08-06
142,Femenino,Gata Salvaje,Servicio premium,Masculino,45,142455,Tarjeta,2023-06-09
143,Masculino,El Rulo,Servicio premium,Cualquiera,90,470345,Transferencia,2023-08-06
144,Femenino,La Pantera,Acompañamiento,Cualquiera,30,286436,Transferencia,2023-08-14
145,Femenino,La Coneja,Acompañamiento,Masculino,60,261154,Efectivo,2023-05-04
146,Masculino,El Mister,Acompañamiento,Femenino,120,466715,Transferencia,2023-08-17
147,Masculino,El Búho,Baile privado,Masculino,45,189164,Tarjeta,2023-02-18
148,Femenino,Rubí,Baile privado,Masculino,120,361138,Efectivo,2023-10-12
149,Femenino,Rubí,Baile privado,Masculino,120,206968,Tarjeta,2023-01-11
150,Femenino,Luz Negra,Acompañamiento,Femenino,45,378661,Tarjeta,2023-08-04
151,Femenino,Luz Negra,Servicio premium,Masculino,45,244940,Transferencia,2023-07-24
152,No binario,Sombra,Baile privado,Femenino,90,465955,Cripto,2023-12-09
153,Masculino,El Veneno,Acompañamiento,Cualquiera,60,93781,Cripto,2023-09-08
154,Femenino,Candy,Acompañamiento,Femenino,120,405466,Efectivo,2023-03-04
